Plot,Year,Tree,Browsed,SummerBrowse,New,Height,CAG,DBH,Laser
21,1999,13,1,,0,35,,,
21,1999,14,1,,0,34,,,
21,1999,15,1,,0,52,,,
21,1999,16,1,,0,51,,,
21,1999,17,1,,0,32,,,
21,1999,18,1,,0,51,,,
21,1999,19,1,,0,58,,,
21,1999,20,1,,0,35,,,
21,1999,21,1,,0,38,,,
21,1999,22,1,,0,22,,,
21,1999,23,1,,0,41,,,
21,1999,24,1,,0,38,,,
21,1999,25,1,,0,57,,,
21,1999,26,1,,0,50,,,
21,1999,27,1,,0,32,,,
21,1999,28,1,,0,62,,,
21,1999,29,0,,0,22,,,
21,1999,30,0,,0,25,,,
21,1999,31,0,,0,47,,,
21,1999,32,0,,0,38,,,
22,1999,1,1,,0,23,,,
22,1999,2,1,,0,33,,,
22,1999,3,1,,0,45,,,
22,1999,4,1,,0,10,,,
22,1999,5,1,,0,20,,,
22,1999,6,,,1,7,,,
22,1999,7,,,1,41,,,
22,1999,8,,,1,32,,,
22,1999,9,,,1,20,,,
22,1999,10,,,1,30,,,
22,1999,11,,,1,17,,,
22,1999,12,,,1,19,,,
22,1999,13,,,1,41,,,
22,1999,14,,,1,40,,,
22,1999,15,,,1,25,,,
22,1999,16,,,1,25,,,
22,1999,17,,,1,39,,,
23,1999,1,1,,0,35,,,
23,1999,2,1,,0,42,,,
23,1999,3,1,,0,31,,,
23,1999,4,,,1,44,,,
23,1999,5,,,1,27,,,
23,1999,6,,,1,42,,,
24,1999,1,1,,0,40,,,
24,1999,2,1,,0,38,,,
24,1999,3,1,,0,41,,,
24,1999,4,1,,0,32,,,
24,1999,5,1,,0,40,,,
24,1999,6,1,,0,54,,,
24,1999,7,1,,0,40,,,
24,1999,8,1,,0,67,,,
24,1999,9,1,,0,42,,,
24,1999,10,1,,0,57,,,
24,1999,11,1,,0,57,,,
24,1999,12,1,,0,78,,,
24,1999,13,1,,0,98,,,
24,1999,14,0,,0,24,,,
24,1999,15,0,,0,79,,,
24,1999,16,0,,0,35,,,
25,1999,1,,,1,42,,,
26,1999,1,1,,0,39,,,
26,1999,2,1,,0,42,,,
26,1999,3,1,,0,51,,,
26,1999,4,1,,0,40,,,
26,1999,5,1,,0,60,,,
26,1999,6,1,,0,48,,,
26,1999,7,1,,0,52,,,
26,1999,8,1,,0,43,,,
26,1999,9,1,,0,52,,,
26,1999,10,0,,0,40,,,
26,1999,11,,,1,46,,,
26,1999,12,,,1,33,,,
27,1999,1,1,,0,28,,,
27,1999,2,1,,0,32,,,
27,1999,3,1,,0,37,,,
27,1999,4,0,,0,36,,,
27,1999,5,0,,0,46,,,
27,1999,6,0,,0,23,,,
27,1999,7,0,,0,46,,,
28,1999,1,1,,0,44,,,
28,1999,2,1,,0,35,,,
28,1999,3,1,,0,58,,,
28,1999,4,1,,0,40,,,
28,1999,5,1,,0,38,,,
28,1999,6,1,,0,39,,,
28,1999,7,1,,0,30,,,
28,1999,8,1,,0,26,,,
28,1999,9,1,,0,36,,,
28,1999,10,1,,0,20,,,
28,1999,11,1,,0,30,,,
28,1999,12,1,,0,9,,,
28,1999,13,1,,0,29,,,
28,1999,14,1,,0,23,,,
28,1999,15,1,,0,25,,,
28,1999,16,1,,0,35,,,
28,1999,17,1,,0,30,,,
28,1999,18,1,,0,29,,,
28,1999,19,1,,0,31,,,
28,1999,20,1,,0,21,,,
28,1999,21,1,,0,17,,,
28,1999,22,1,,0,22,,,
28,1999,23,1,,0,23,,,
28,1999,24,1,,0,32,,,
28,1999,25,,,1,25,,,
28,1999,26,,,1,28,,,
28,1999,27,,,1,32,,,
28,1999,28,,,1,26,,,
28,1999,29,,,1,35,,,
28,1999,30,,,1,25,,,
28,1999,31,,,1,29,,,
28,1999,32,,,1,24,,,
28,1999,33,,,1,20,,,
28,1999,34,,,1,15,,,
28,1999,35,,,1,41,,,
28,1999,36,,,1,23,,,
28,1999,37,,,1,26,,,
29,1999,1,1,,0,46,,,
29,1999,2,1,,0,61,,,
29,1999,3,1,,0,77,,,
29,1999,4,1,,0,42,,,
29,1999,5,1,,0,27,,,
29,1999,6,1,,0,38,,,
29,1999,7,1,,0,56,,,
29,1999,8,1,,0,40,,,
29,1999,9,1,,0,47,,,
29,1999,10,1,,0,15,,,
29,1999,11,1,,0,10,,,
29,1999,12,1,,0,25,,,
29,1999,13,,,1,22,,,
29,1999,14,,,1,21,,,
29,1999,15,,,1,17,,,
30,1999,1,1,,0,34,,,
30,1999,2,1,,0,28,,,
30,1999,3,1,,0,33,,,
30,1999,4,1,,0,32,,,
30,1999,5,1,,0,37,,,
30,1999,6,1,,0,44,,,
30,1999,7,1,,0,35,,,
30,1999,8,1,,0,63,,,
30,1999,9,1,,0,39,,,
30,1999,10,1,,0,36,,,
30,1999,11,1,,0,32,,,
30,1999,12,1,,0,54,,,
30,1999,13,1,,0,40,,,
30,1999,14,1,,0,56,,,
30,1999,15,1,,0,36,,,
30,1999,16,1,,0,27,,,
30,1999,17,1,,0,46,,,
30,1999,18,1,,0,64,,,
30,1999,19,1,,0,32,,,
30,1999,20,1,,0,54,,,
30,1999,21,0,,0,35,,,
30,1999,22,0,,0,22,,,
30,1999,23,0,,0,38,,,
30,1999,24,0,,0,37,,,
30,1999,25,0,,0,44,,,
30,1999,26,0,,0,42,,,
30,1999,27,0,,0,39,,,
30,1999,28,0,,0,40,,,
30,1999,29,0,,0,38,,,
30,1999,30,0,,0,44,,,
30,1999,31,0,,0,28,,,
30,1999,32,0,,0,67,,,
30,1999,33,0,,0,52,,,
30,1999,34,,,1,25,,,
30,1999,35,,,1,39,,,
30,1999,36,,,1,56,,,
30,1999,37,,,1,27,,,
30,1999,38,,,1,28,,,
30,1999,39,,,1,71,,,
30,1999,40,,,1,24,,,
30,1999,41,,,1,50,,,
30,1999,42,,,1,41,,,
30,1999,43,,,1,28,,,
30,1999,44,,,1,53,,,
30,1999,45,,,1,35,,,
30,1999,46,,,1,21,,,
30,1999,47,,,1,24,,,
30,1999,48,,,1,27,,,
30,1999,49,,,1,29,,,
30,1999,50,,,1,49,,,
30,1999,51,,,1,59,,,
30,1999,52,,,1,23,,,
30,1999,53,,,1,22,,,
30,1999,54,,,1,32,,,
30,1999,55,,,1,25,,,
30,1999,56,,,1,34,,,
30,1999,57,,,1,63,,,
30,1999,58,,,1,43,,,
30,1999,59,,,1,37,,,
30,1999,60,,,1,42,,,
30,1999,61,,,1,27,,,
30,1999,62,,,1,25,,,
30,1999,63,,,1,34,,,
30,1999,64,,,1,19,,,
30,1999,65,,,1,20,,,
30,1999,66,,,1,22,,,
30,1999,67,,,1,38,,,
30,1999,68,,,1,39,,,
30,1999,69,,,1,46,,,
30,1999,70,,,1,23,,,
30,1999,71,,,1,27,,,
31,1999,1,1,,0,17,,,
31,1999,2,1,,0,27,,,
31,1999,3,1,,0,50,,,
31,1999,4,1,,0,31,,,
31,1999,5,1,,0,60,,,
31,1999,6,1,,0,22,,,
31,1999,7,1,,0,23,,,
31,1999,8,1,,0,22,,,
31,1999,9,1,,0,26,,,
31,1999,10,1,,0,25,,,
31,1999,11,,,1,22,,,
31,1999,12,,,1,22,,,
32,1999,1,1,,0,38,,,
32,1999,2,1,,0,57,,,
32,1999,3,1,,0,77,,,
32,1999,4,1,,0,58,,,
32,1999,5,1,,0,67,,,
32,1999,6,1,,0,70,,,
32,1999,7,1,,0,33,,,
32,1999,8,1,,0,35,,,
32,1999,9,1,,0,33,,,
32,1999,10,1,,0,36,,,
32,1999,11,1,,0,42,,,
32,1999,12,1,,0,38,,,
32,1999,13,1,,0,44,,,
32,1999,14,1,,0,49,,,
32,1999,15,1,,0,52,,,
32,1999,16,1,,0,52,,,
32,1999,17,1,,0,45,,,
32,1999,18,1,,0,38,,,
32,1999,19,1,,0,44,,,
32,1999,20,1,,0,80,,,
32,1999,21,0,,0,40,,,
32,1999,22,0,,0,35,,,
32,1999,23,0,,0,45,,,
32,1999,24,0,,0,24,,,
32,1999,25,,,1,38,,,
32,1999,26,,,1,45,,,
32,1999,27,,,1,44,,,
32,1999,28,,,1,44,,,
32,1999,29,,,1,37,,,
32,1999,30,,,1,69,,,
32,1999,31,,,1,49,,,
32,1999,32,,,1,43,,,
32,1999,33,,,1,36,,,
32,1999,34,,,1,38,,,
32,1999,35,,,1,67,,,
32,1999,36,,,1,32,,,
32,1999,37,,,1,29,,,
32,1999,38,,,1,27,,,
32,1999,39,,,1,25,,,
